tweet,category
"JUST IN: Victim in Landover Hills homicide identified as Filomena Vasquez. Neighbors tell @nbcwashington she had newborn grandkids and was a kind woman who always said hello to neighbors despite a language barrier. PD says shooting was not random, but she was not intended target.",Assault
"Tragic news out of Novi. The 2-year-old boy's death has been ruled a homicide . Neighbors described the family as loving, kind and said they could ""still see the boy in our eyes.""",Assault
Police confirm a man was shot and killed in the Kingston neighborhood this afternoon. His death is BHM’s second homicide of the year and second in two days. ⁦ @WVTM13,Assault
"Nashville, TN: Kevin Jordan and Emani Martin are charged with reckless homicide in the death of Hendersonville Officer Spencer Bristol WKRN News 2 #BackTheBlue #NationalLawEnforcementAppreciationDay",Assault
YORK — Prosecutors have dropped criminal homicide and conspiracy charges against one of two men arrested in a shooting death inside a Pennsylvania movie theater last month.,Assault
"Anthony Todt is walked from the Osceola County Sheriff's Office to a patrol car that will take him to jail. He faces homicide charges for the deaths of his wife, Megan, and their three children whose ages ranged from 4 to 13. pic.twitter.com/I48aAyKyqB",Assault
"Police say Shavonte Thompson was arrested by the U.S. Marshals Service in Peoria, Illinois earlier today. He was wanted in connection with a November homicide in La Crosse.",Assault
"Shots fired on 1/9 at 1600 Thurman block resulted in damage to residences and vehicles (see pic). Evidence seized. Also, homicide is handling a body found near a dumpsters on Detonty. Will update.",Assault
"Henrico police have made an arrest into Thursday nights homicide . Deion L. Smallwood, 23, of Richmond was arrested and charged with murder.",Assault
TN - Charges against one suspect charged in the death of Hendersonville Police Officer Spencer Bristol were dismissed on Monday. The driver of the car being pursued by Bristol had a charge of reckless homicide dismissed. Passenger still faces same charge,Assault
He was arrested in Philly but our sources say he was responsible for a double homicide here in Pittsburgh. We're LIVE tonight at 5:30 with what we're learning about this shooting that happened in front of a local church! #wpxi,Assault
A Dubuque man has been arrested in Minnesota on a vehicular homicide charge related to a fatal motorcycle crash in August.,Assault
NASHVILLE – Metro-Nashville Hermitage detectives Jan. 16 charged a Nashville man with homicide in a New Year’s Day fatal shooting.,Assault
"A 15 year-old Pataskala teen has been charged and will be arraigned on reckless homicide charges. According to court documents he was playing video games with a friend when he pointed a 9mm laser, then pulled the trigger, killing the boy",Assault
"An Indiana man charged with negligent homicide in his granddaughter’s fatal fall from a cruise ship’s open window in Puerto Rico leaned out of that window for several seconds before he lifted the child up to it and she fell, the cruise operator says",Assault
"A foreign national was arrested, after being found in possession of a Toyota Corolla which was hijacked in Randburg. The driver reported the hijacking after he was taken hostage during the event.",Burglary
"Police have opened a case of hijacking and theft after a Ram courier vehicle was robbed of cellphone packages in Kempton Park, east of Johannesburg, on Tuesday morning. No arrests yet",Burglary
Police arrest seven suspects on suspicion of staging a truck hijacking and stealing medical supplies in Akasia policing precinct Tshwane.: #akotopamnews,Burglary
"Six men and a woman have been arrested for allegedly staging the hijacking of a truck transporting medical supplies in Strydfontein, north of Pretoria.",Burglary
A new hijacking wave has hit the North West city of Klerksdorp and the police have issued tips on how to avoid being the next victim. #cardealerships,Burglary
#5: hijacking high-speed trains in Europe; sabotaging train tracks globally #6: bounties to Hezbollah/affiliates in Venezuela for heading North to cause mischief #7: cyber attacks,Burglary
SouthAfrica 7Jan 2020. An unidentified victimwas killed and another victim injured during an attempted hijacking by three black men in a white AudiA4 in Kyalami near Johannesburg.,Burglary
"Update: #Somali business man has been hijacked this afternoon in Alex, Johanneburg. @Abramjee the hijacking of the Somali business men in South Africa has been on the rise since 2019. Last year alone 6 Somalis were hejacked in Cape Town Alone.",Burglary
Robert Steele: WORLD WAR III: Ukrainian Flight PS752 Western False Flag (Remote Hijacking / Transponder Disabling to Trigger Two Tor-M1 missiles) Update 1: Zionist Owner of Airline Accused — Onboard Cyber Hack? – Public Intelligence Blog https://ift.tt/383AWj9,Burglary
"Dean .. as no other media will comment ... the BREAKING NEWS : Woman beaten in the street by partner, two young boys murdered by their father in Brampton. The Firetruck hijacking , arrested “reformed” ISIS terrorist in Kitchener, the Ottawa incident yesterday - Any updates....?",Burglary
"#BREAKING Four people arrested, now federally charged with robbery under the Hobbs Act, after a deadly armored car robbery last October in northwest Houston, the @FBIHouston confirms. The suspects haven’t been charged with the guard’s murder , but the FBI believes they did it.",Burglary
#BREAKING FBI Violent Crime Task Force arrests in Beaumont armored car robbery crew believed to be responsible for October 2019 murder of courier outside northwest Houston fast food restaurant.,Burglary
"Rodaeshia Winter Hines, 17, of Abilene is charged with murder and aggravated robbery in the shooting death of David Devora. @abilnepd",Burglary
4th teen held after hearing in Warren County murder -robbery case,Burglary
"Hebron house robbery and murder of mom and daughter, suspect arrested 20 Jan 2020 - 04:53:00 pm South African Police Service January 20, 2020",Burglary
The New York police department arrested two teenage boys and charged them with gang assault and murder of 60-year-old Juan Fresnada that occurred during a $1 robbery on Christmas Eve.,Burglary
Man Wounded in Montebello Police Shooting Amid Homicide Investigation Police shot and wounded a man in Montebello on Sunday afternoon Security cameras installer los angeles #CCTVFootage #Surveillancevideos #Crimefootage #Robberyfootage #Surveillancecameracatchrobbery #CCTv,Burglary
BREAKING — Narcotics robbery reported at Walgreens in Warsaw. Suspect described as while male with neck tattoos wearing a gray stocking cap.,Burglary
"The truck used in the robbery was stolen from Greenville, South Carolina, where three of the four occupants were from.",Burglary
UPDATE: An armed robbery suspect has been detained in Davis after leading officers on a chase from Roseville. Here's the latest: http://t.ly/pB0Gk,Burglary
Santa Ana woman arrested for stabbing and killing a man during a robbery in Tustin,Burglary
Geauga County Sheriff's Office arrests robbery suspect who was on parole for homicide. The suspect was wanted in multiple armed robberies at gas stations and dollar stores in the area. 3News' Andrew Horansky reports. @WKYCAndrewH,Burglary
Detroit | Man Arrested For 6 Fast Food Restaurant Robberies Across Metro Detroit,Burglary
EASTON — Easton police are investigating a reported armed robbery at the Crown gas station on North Washington Street.,Burglary
"Florida Man strikes again! This time, his target is a Kissimmee McDonalds, where he posed as a cashier to pull off a robbery -Stephen h",Burglary
ROBBERY near ISLINGTON AVE - BERGAMOT AVE. 15.34km from Toronto City Hall. Time of occurence was 2020/01/27 14:51:22. #Five_O_com #InstantCrimeAlerts #TorontoPolice #Toronto #TorontoCrimeAlerts,Burglary
"Brooklyn | 386 Knickerbocker Ave. Attempted robbery at Bank of America, suspect is a m/h, approx. 50 y/o, 5’8” tall, with a goatee, wearing a gray jacket and fled on foot s/b towards Myrtle Ave.",Burglary
A Toms River man has been charged in connection with a robbery at the First Financial Bank at the corner of Route 9 and 571.,Burglary
Newport Beach Woman Arrested for Allegedly Stealing $2 Million in Jewels in South Coast Plaza Armed Robbery,Burglary
Sebastian County Man Facing Several Drug Charges After Attempted Robbery At His Home,Burglary
Dog shot during armed #robbery in #West #Philadelphia - Jan 14 @2:45 PM ET,Burglary
Police confirm attempted robbery in Glenwood Springs preceded fatal officer-involved shooting in New Castle,Burglary
Cash taken in Bethlehem Township bank robbery just before noon,Burglary
"DEVELOPING: Police are on the scene of a bank robbery . It happened about 11:20 am, Friday, at First Midwest Bank in the 800-block of West Springfield. #WCIA @ChampaignPD @CrimeStoppersCC",Burglary
Fitchburg  police said they are investigating the armed robbery Thursday of the UW Credit Union at 6331 McKee Road.,Burglary
Suspects arrested in deadly home invasion robbery at the Casa Bella Apartments in Victorville,Burglary
he New York police department arrested two teenage boys and charged them with gang assault and murder of 60-year-old Juan Fresnada that occurred during a $1 robbery on Christmas Eve.,Burglary
3 out of 4 suspects shot by pizza delivery driver during attempted robbery in Charlotte,Burglary
Roseville police ask for public's help in finding suspects in robbery where chemical spray was used,Burglary
Georgia Toffolo's car window smashed and handbag stolen in terrifying robbery,Burglary
Man shot after possible gang-related robbery south of Everett,Burglary
"Four suspects have been arrested on grand theft and other charges stemming from a grab-and-run robbery at the Stanford Mall Macy's store that was captured on cellphone video, Palo Alto police announced Monday.",Burglary
"Sterling Heights robbery suspect taken into custody less than 2 hours after assault, theft",Burglary
"Sad! Man murdered over the 'harmless herb'. ""Both suspects admitted to being at the crime scene and robbing the victims with guns in an attempt to get marijuana."" Knoxville man, juvenile charged in murder of two brothers after robbery",Burglary
A Wheaton 19-year-old was arrested and charged with theft -related offenses that occurred in the Aspen Hill area in November. Police believe another person was involved.,Burglary
"Parker turned up at the sheriff's office to pay for his late fee on his ankle monitor. Deputies arrested him and charged him with three counts of burglary, one count of grand theft and two counts of petit theft .",Burglary
Australia: Seven charged following a series of pick-pocketing and theft offences on train and tram networks and at popular shopping precincts across Melbourne’s CBD: Five Sri Lankans and two Indians. Why are they into thieving?,Burglary
#Georgia #police officers arrested in theft #case - Jan 30 @6:37 PM,Burglary
Oakland police arrested two people Wednesday in connection with a laptop theft a day earlier that resulted in the death of the victim. via @jilltucker,Burglary
"Two women suspected of mail theft in San Carlos were arrested, but not before they placed phony 911 calls in an attempt to distract the arresting officers, the San Mateo County Sheriff's Office says.",Burglary
"Convicted Robbers Charged in Oakland Laptop Theft, Homicide The suspects face murder and involuntary manslaughter charges.",Burglary
"Two suspects have been arrested in connection with a laptop theft and subsequent homicide outside the Montclair Starbucks location in Oakland on New Years Eve, Oakland police said Wednesday",Burglary
#BREAKING : Oakland police have arrested 2 suspects connected to a laptop theft and subsequent homicide outside the Starbucks in Oakland's Montclair neighborhood on Tuesday,Burglary
A 32-year old man has been arrested in Arkansas City on suspicion of drug charges and theft in connection with a pair of thefts.,Burglary
"#CORRUPTION : FBI arrested a 2 high-ranking officials in Puerto Rico for allegedly directing more than $15 million dollars in federal funds to preferred businesses. The federal indictment outlined crimes including wire fraud, theft and #moneylaundering . #DemsRetirementPlan",Burglary
"Yoruba Actress, Lola Margaret Finally Speaks On Her Alleged Fraud, money laundering Arrest and deportation from US, reveals how she was betrayed by her friend",Burglary
Texas (USA): A series of arrests of high-ranking Dallas police officers surround allegations of illegal gambling and money laundering,Burglary
"Police in Santa Cruz, Bolivia present the chairman of the network ATB, Marcelo Hurtado, arrested for the money laundering and financial crimes. In the next few hours he'll be taken to the city of La Paz in a flight from the BOA airline.",Burglary
Russian collecting couple arrested in Belgium : Russians have long used art for money laundering,Burglary
"Both Keleher and Ávila-Marrero took advantage of their privileged positions as agency chiefs. They defrauded the U.S. and Puerto Rican governments,"" Federal authorities also arrested and charged Glenda Ponce-Mendoza and Mayra Ponce-Mendoza, for wire fraudand money laundering",Burglary
Woman arrested at Belfast airport on suspicion of money laundering,Burglary
"CALIFORNIA: 5 ARRESTED IN $3.2M SOBER LIVING HOME FRAUD SCHEME, CHARGED with insurance fraud + money laundering",Burglary
"When you abide our (US) requests, we give you the support. Shokin was relieved and they gat the funds. His crew has mostly been arrested and charged with assorted crimes relating to corruption (bribery, money laundering , alerting perps of witnesses)",Burglary
"LATEST: Two people are being questioned having been arrested over the supply of class A drugs and money laundering after police executed a warrant in Church Hill, Loughton, today",Burglary
CNN ANONYMOUS SOURCE :FBI ARRESTED SLEEPY JOE BIDEN IN Iowa State! MONEY LAUNDERING !,Burglary
Northern Ireland police make seven arrests in raid exposing international money laundering schem,Burglary
"Hassan A. Abbas, a Belgian national holding an Illinois law license, was arrested by #FBI Boston yesterday after being indicted on money laundering charges involving funds obtained from three Massachusetts victims.",Burglary
Police arrest 7 people as they burst massive £215m money laundering ring using 50 companies and 140 bank accounts in Northern Ireland,Burglary
"Osaze Osemwingie-Ero, Edo State’s commissioner arrested, detained in France for alleged money laundering",Burglary
"Christ. Former Spain international full-back Raúl Bravo - once of Real Madrid, Leeds United - suspected of hiring a hitman to murder former Olympiakos teammate Darko Kovačević. Bravo has previously been arrested on suspicion of corruption and money laundering.",Burglary
"HORRIFIC & time to revisit MD gun laws, namely, CCP. We must be able protect ourselves from the criminals run amok in what was once Charm City @GovLarryHogan @LarryHogan POLICE: Man robbed and lit on fire in Baltimore https:// foxbaltimore.com/news/local/pol man-robbed-and-lit-on-fire-in-baltimore \u2026 It's now the murder capitol.",Burglary
"Money laundering. Fraud. Influence peddling. Conspiracy. Illicit campaign financing. In #Guatemala , authorities have started to arrest officials who lost their immunity from prosecution this week when a new administration took office.",Burglary
"Houston/Watson explosion with 2 dead, Houston explosions and fires with 50,000 evacuated, West explosion with 15 dead, gun violence, and police murders of innocent people is making \u2018small government\u2019 look like \u2018hear no evil, see no evil, speak no evil\u2019 incompetence. #VoteBlue2020 https:// twitter.com/christoq/statu s/1221753184793661440 \u2026",Burglary
"Man arrested for stealing £40,000 worth of bicycles in Edinburgh … The thief allegedly raided garages, sheds and storage units across the city",Burglary
Police officers are accused of 'attacking' suspected car thief while arresting him after he 'surrendered' by putting up his hands and lying down,Burglary
An 18-year-old high school student was arrested after police say he was caught on camera breaking into Wooddale High School to steal a teacher's belongings.​,Burglary
"Wichita Falls police arrested Jay Rigsby, 39, after he allegedly tried to steal an Energizer flashlight from the United grocery store on Iowa Park Road.",Burglary
"The Can of Peas! A 80 year old woman was arrested for shop lifting. When she went before the judge he asked her, ""What did you steal ?"" She replied, ""A can of peaches."" The judge then asked her why she had stolen the can of peaches and she replied that she was hungry. -",Burglary
Russian military hackers reportedly tried to steal emails from the Ukrainian energy company at the center of US impeachment scandal,Burglary
"The FBI has arrested the chair of Harvard University’s chemistry department, accusing him of lying about his work for a Chinese university, and charged two others who worked in the Boston area with aiding China’s efforts to steal scientific research.",Burglary
"OJ Simpson, after beating a double murder charge, was arrested for attempting to steal back his old football memorabilia. The same football memorabilia that he originally sold to pay for his legal fees in the double murder case! #DumbThingsToBeArrestedFor",Burglary
"Colorado man says 'I really suck at this' after he fails, gets caught trying to steal 3 cars, police say | Fox News",Burglary
To the person in Maryland who hacked my @ChickfilA app and decided to steal not only $23 but also 3600 of my points: not cool.,Burglary
"Turk police who exposed Turk MIT military intel agents posing as NGOs, front for terrorism, arrested and fired! Erdogan and Turk pols are running a TERRORIST murder, genocider, thief and blackmail state! Libya & Haftar's LNA are exposing Turkey to the world! Will EU listen?",Burglary
"Chris Bryant / Simba Lion (in the UK) / Furry Valley / Furry Menagerie has a warrant out for his arrest in the UK. Simba is known to blackmail , hack, dox, and engages in child grooming. People, be aware of the people around you!",Burglary
Two suspects have been arrested in connection with what's being considered a homicide. A man chased down a laptop thief in Montclair Tuesday and later died from injuries.,Burglary
National treasure stolen from Istanbul. The treasure has been identified as Constantine's jeweled cross. Female suspect reported at the scene of the crime. Your assignment: Track the thief from Istanbul to her hideout and arrest her!,Burglary
"Currently on r/Portland: ""Update: BUSTED! Case#20-26447. Serial car thief with 49 arrests, found a hideakey and stole my grandmas car twice in one week. He's spending the weekend in jail."" #Portland",Burglary
"Today's Japan news. There are (Hangure)"" in Japan. is not gangster. but they do scam and violence and thief . One of the  team leader was arrested. Because he threatened the",Burglary
Husband of #Nancy_Ajram Has Been Arrested After Shooting Thief 16 Times!!,Burglary
"Armed Car Thief , Drug Smuggler Arrested at Arizona Immigration Checkpoint",Burglary
‘ Thief ’ arrested for stealing $2 160 from parked vehicle,Burglary
$20: Shamrock South Jersey deli owner stabbed to death chasing tip jar thief - teen arrested h,Burglary
National treasure stolen from Kigali. The treasure has been identified as a Watusi king's headdress. Female suspect reported at the scene of the crime. Your assignment: Track the thief from Kigali to her hideout and arrest her!,Burglary
National treasure stolen from Montreal. The treasure has been identified as an Indian ceremonial rug. Male suspect reported at the scene of the crime. Your assignment: Track the thief from Montreal to his hideout and arrest him!,Burglary
Suspected Truck Thief Arrested In Oklahoma After Kidnapping & Goatnapping That Spanned 3 States – CBS Dallas / Fort Worth,Burglary
A Utah nurse is set to be sentenced this week after prosecutors said she admitted to stealing narcotic painkillers from a hospital — and infecting at least seven patients there with hepatitis C.,Burglary
Two previously convicted robbers have been arrested and are facing charges in the New Year's Eve death of a 34-year-old Oakland man whose laptop computer they were allegedly trying to steal .,Burglary
2 men arrested for trying to steal catalytic converter in Stockton,Burglary
Two previously convicted robbers have been arrested and are facing charges in the New Year's Eve death of a 34-year-old Oakland man whose laptop computer they were allegedly trying to steal .,Burglary
"RT @NYPDDCPI: A solemn, silent salute for Firefighter Timothy Klein whose legacy is now one of heroics, selfless service, and the ultimate…",normal
"This afternoon, NYC lost one of it's bravest. Firefighter Timothy Klein died tragically while battling a 3-alarm fire in Brooklyn. We stand with our @FDNY family &amp; all New Yorkers as we mourn this terrible loss. https://t.co/GxJcIlBHt5",normal
We are saddened by the loss of @FDNY Firefighter Timothy Klein. Firefighter Klein died serving the people of NYC and will forever be a hero. We stand with our brothers and sisters at the FDNY as they grieve for their brother and continue to watch over the city. https://t.co/CN8oFoqg6E,normal
"Our deepest condolences go out to the family, friends, &amp; co-workers of Police Officer Andrew Barr from Cayce Police Department, who was shot &amp; killed while responding to a domestic disturbance call. He had served with the department for 6 years.
#FidelisAdMortem https://t.co/nAvUjZNmFs",Shooting
"RT @NYPD23Pct: Investigating a domestic violence call, Sgt Sohmer &amp; his Officers gained the confidence of a witness who led them to this il…",Assault
"RT @NYPDTransit: Recently, Transit officers saw two men fighting near a Brooklyn train station and ran to intervene. Our District 34 team s…",normal
"RT @NYPDFIRSTDEP: From @NYPDSchools Safety Agents and @NYPDTransport Traffic Agents, to Police Administrative Aides and @NYPDDetectives; wh…",normal
"Here is a closer look at the suspect. Again, if you have any information, DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/UUAAr6KDMl",normal
"What are you doing tonight? Did you know Saturday Night Lights is back? There are locations in every borough where kids can enjoy their night.

For a list of locations by borough:
https://t.co/gBR5u4rDds https://t.co/HN404Qe05r",normal
"Ever wonder how the NYPD Crime Stoppers Program works? President &amp; CEO of the @nycpolicefdtn, Susan Birnbaum, &amp; Sgt. Richard Wall from @NYPDTips joined @NY1 to answer that question and more. https://t.co/hQwaDGN7lD",normal
"Reminder: There are events going on throughout NYC that may affect your commute. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK",normal
"TODAY!
Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Mk8qYEnbIb",Assault
"From parades in Manhattan to Marathons in Brooklyn, there is alot happening in NYC this weekend. Stay one step ahead of the traffic by checking out our weekend traffic advisory.

https://t.co/ALritgi5lK https://t.co/jkZ1skEwvp",normal
"This week in the Edenwald Houses, ten bikes / ATVs were seized for reckless driving, unregistered or uninsured. ATVs and Dirt bikes are illegal on all streets and sidewalks in New York City. https://t.co/7iXTb75APz",normal
Happy Earth Day! @NYCParks has space throughout every borough for all New Yorkers to get outside and enjoy. https://t.co/uaBVwjyOGv,normal
"After a Tuesday afternoon shootout on Linden Blvd in Queens, detectives from the @NYPD113Pct  immediately went to work on the case. Today, an 18-year-old was arrested and charged for that shooting, and this cache of guns and armored vests were recovered. https://t.co/6xivn7QEZP",Arrest
"The warmer weather typically brings out the dirt bikes and ATVs across NYC. Just remember, they are illegal on all New York City roadways and sidewalks. https://t.co/YiRGIRwXG9",normal
"BROOKLYN: Plan ahead for street closures and detours this Sunday 4/24 for the Brooklyn Marathon. 

For more information visit https://t.co/mure3ZG2Tv https://t.co/d9ZciJPHVh",normal
"🚨WANTED for a FORCIBLE TOUCHING: Do you know him? On 4/21/22 at 11:47 AM, inside the New Utrecht subway station, the suspect proceeded to touch a 17-year-old female's thighs before fleeing.  Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/p62X9MPXty",normal
"Cash for Guns with @QueensDAKatz 
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/Q45ct435Ly",Assault
Who let the dogs out? https://t.co/r7y0FysHjq,normal
"🚨WANTED for a SEX ABUSE: Recognize him? On 4/21/22 at 7 AM, inside the Cortlandt St subway station, the suspect rubbed a 22-year-old woman's thigh, exposed his penis &amp; masturbated. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS https://t.co/zz3pnNCDPD",Abuse
"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class tomorrow at https://t.co/iVF1D88gei https://t.co/NaGCExhpwO",normal
"NYC is undoubtedly safer thanks to our @NYPDDetectives from the Major Case Field Intelligence Team. While conducting a search warrant, detectives recovered a cache of firearm lower receivers, high capacity magazines, ammo, a rapid-fire device, &amp; a completed ghost gun. https://t.co/bcSxgbD17B",normal
"Newly appointed honorary NYPD Officer DJ was sworn in yesterday and took a trip around NYC to check out the specialized units within the department. 

Watch more as @KatieLusso reports on DJ's special visit. https://t.co/uD9JzSMC3p",normal
"RT @NYPD23Pct: Just out of jail &amp; loaded with meth, a man went on a rampage thru the #UES &amp; #EastHarlem, serially attacking 5 people with a…",normal
"Below is the knife recovered at the scene, believed to be the weapon used during the crime. https://t.co/I1fgJWLGcV",normal
Watch as @NYPDDetectives Chief James Essig provides an update in an arrest regarding the death of Orsolya Gaal. https://t.co/FvK8g6lJda,Arrest
#HappeningSoon: @NYPDDetectives will provide an update to an ongoing investigation. https://t.co/kE1zzs4YIU,normal
"RT @NYPDSpecialops: Early this morning, @NYPDSpecialops rescued a male from a sinking boat in the v/o New Rochelle. Rescue swimmers were sa…",normal
RT @NYPDPC: .@NYPDDetectives have arrested a 44-year-old man from Queens in regard to the death of Orsolya Gaal. He has been charged with m…,Arrest
"🚨WANTED for RECKLESS ENDANGERMENT: Do you know these guys? On 4/17/22 at approx. 4:26 PM, in front of 411 Beach 54 St in Queens, one suspect fired multiple shots at a group of individuals, then handed the gun to a second suspect. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/Lat78EgmNU",normal
"🚨WANTED for a HOMICIDE: Have  you seen them? On 4/16/22 at 9:53 PM, in front of 117-09 Guys R. Brewer Blvd in Queens, the suspects approached a group of males and fired 15 gunshots that killed a 48-year-old man. Have any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/lTpWkZTfJl",normal
RT @127Penn: Our Adopt-A-Cop initiative w/ PO Kinslow. He worked with our mentors &amp; showed them the basic fundamentals of cars &amp; discussed…,normal
"Today, @NYCMayor &amp; @NYPDPC were joined by law enforcement officials in honoring the officers and civilians for their efforts after the subway shooting last week. Thanks to the collaborative work of these officers &amp; the assistance of the public, the suspect was arrested &amp; charged. https://t.co/FqLwxjQUaA",Arrest
"Cash for Guns with @QueensDAKatz
 
NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/7SMLVMp5el",Assault
Join @NYCMayor and @NYPDPC as they honor police officers and civilians for their efforts after the subway shooting last week. https://t.co/ObL8djDabl,Shooting
"Today, we were honored to welcome 10-year-old DJ and his father to Police Headquarters to be sworn in by @NYPDPC as a part of his goal to take the oath for 100 police departments in 6 months. We are proud to say he easily met his goal, as we are number 387! https://t.co/30aLdJe0w4",normal
"While on his way home,  @NYPDDetectives Sgt. Schoefer recognized a man known for targeting seniors on the Upper West Side. With the help of the Commanding Officer of  @NYPD20Pct, Captain Zuber, the two apprehended the male after he tried to steal from another victim. https://t.co/CmjErZvala",normal
"Check out our Instagram stories as our Auxiliary officers answer your questions on this #VolunteerRecognitionDay.

👀👇
https://t.co/60EOmYeGuo https://t.co/zYxDkO4uyV",normal
"The newest members of the NYPD recently graduated from the academy and are gearing up for their new roles in neighborhoods throughout NYC. These officers will be on your block, in your train station, and answering your calls for help, so be sure to say hello. https://t.co/szY34KfW6Q",normal
"Last night, Neighborhood Safety Officers from @NYPDPSA7 were on patrol in the Bronx when they stopped an individual carrying this loaded ghost gun. The suspect, a 15-year-old male, was quickly placed under arrest, helping to keep the community safe from gun violence. https://t.co/TsyJGmtaVC",Arrest
"🚨WANTED for ATTEMPTED ASSAULT: Know these guys? On 4/19/22 at approx. 12:30 PM, in front of 194-05 Linden Blvd in Queens, the suspects exchanged gunfire. One male fled in a silver Honda, the other fled in a black Acura. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/CXQNiWaeie",Assault
RT @NYPDPC: Isaiah Metz has been apprehended and charged with assaulting two police officers. He will also be brought to justice in Pennsyl…,Arrest
"🚨WANTED for a BURGLARY: Recognize him? On 4/17/22 at 11:30 PM, in the vicinity of Fresh Pond Rd &amp; 71st Ave in Queens, the suspect used a USPS key to open the mailboxes &amp; remove contents before fleeing in a gray SUV. Have any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/bKj1G7uXFN",Burglary
"RT @NYPDPC: What an honor to drop the puck at @TheGarden! 

The “big thank you” goes to the @NYRangers though for their unwavering support…",normal
UPDATE: The individual below has been arrested and charged for this crime. https://t.co/xNjFIyfArI,Arrest
"When Officers Reisert &amp; Brown from the @NYPD42Pct responded to a 911 call of an unresponsive man who overdosed, they knew they needed to act fast. Equipped with naloxone, they administered 2 dosages to the person &amp; were able to save his life by successfully reviving him. https://t.co/ET5J0SvMRz",normal
"RT @NYPDChiefPatrol: Last week, these officers celebrated their graduation from the Police Academy. Now they have begun working in precinct…",normal
"Are you in college and thinking about a career in law enforcement? Become an NYPD Cadet.
✅Competitive pay
✅Flexible Schedule
✅Tuition reimbursement 

Register for the next orientation class, April 22, at https://t.co/iVF1D8pRCS https://t.co/VqKo3JMeBy",normal
"NYC: Do you know where Isaiah Metz, AKA Decklyn McBride, is? This morning, inside a shelter at 257 West 30 St in Manhattan, he assaulted 2 Regional Fugitive Task Force Officers attempting to take a male into custody for outstanding warrants. Have info? Call @NYPDTips 800577TIPS https://t.co/OHV0oaK3CD",Arrest
RT @NYPD104Pct: Don’t count your 🐥🐓 before they hatch! Lieutenant Hellmer and your 104 NCO’s held a joint operation with @ASPCA and @NYCACC…,normal
UPDATE: All lanes have been reopened. https://t.co/aOCVoKCV9q https://t.co/8T5HoGWnCj,normal
"🚨WANTED for ASSAULT: Do you know this guy? On 4/16/22 at approx 3:28 PM, on a BX12 bus in the vicinity of Bartow Ave and Edson Ave in the Bronx, the suspect spat at a 79-year-old male, then punched him in the face. Any info? DM @NYPDTips, or call 800-577-TIPS. https://t.co/A4ucHL9SUZ",Assault
ADVISORY: The southbound lanes of the Major Deegan Expressway are closed due to flooding at Depot Place. Please use an alternate route. https://t.co/5kq5fP69bv,normal
"🚨WANTED for CRIMINAL MISCHIEF: Do you know this guy? On 4/10/22 at approx 10:03 AM, on Fort Hamilton Parkway between 62 St and 65 St, the suspect used a long metal object to damage 6 unoccupied vehicles. Any info? DM @NYPDTips, or anonymously call 800-577-TIPS. https://t.co/szOGtSfqQj",normal
"On Tuesday, officers from. @NYPDCentralPark were alerted to a woman that got into the reservoir and couldn't stay afloat. Without hesitation, Officer Healy swam out into the frigid water to rescue her.

Watch the full interview ⬇️ https://t.co/U81REJtjv9",normal
"Last night, officers from the @NYPD60Pct stopped a male to correct a quality of life violation they observed. During their stop, they discovered the male possessed this loaded firearm, safely recovered it &amp; placed him under arrest, helping to keep the community safe. https://t.co/NdKqjV14Y6",Arrest
RT @NYPDPC: Detective Robert Cardona was by every measure courageous — while he battled a serious 9/11-related illness and then during the…,normal
RT @NYPD67Pct: Your Officers were working around the ⏰ to protect East Flatbush families during the Easter holiday weekend. After a brief f…,normal
"Cash for Guns with @QueensDAKatz 

NO QUESTIONS ASKED.

April 23, 2022
Praise Tabernacle Church
108-11 Sutphin Boulevard
10:00 A.M. to 4:00 P.M.

$200 Pre-paid cards &amp; iPads for Handguns &amp; Assault Rifles
$25 for Rifles, Shotguns, and Airguns https://t.co/TgJYirho46",Assault
